항공사(영문명),항공사(한글명),항공사코드(IATA),항공사코드(ICAO),항공사상태
Aeroshell Cia. Ltda.,에어로쉘 Cia,,ESH,Grounded
"Aerosiyusa , S.A.",아에로시유사,,SIY,Grounded
Aerosmith Aviation,에어로스미스 에비에이션,,JPR,Grounded
Aerospace Consortium LTD,에어로스페이스 콘소시엄,,AKQ,Active
Aerostan,에어로스탄,,BSC,Grounded
Aerostan,에어로스탄,,BSC,Grounded
Aerostar,에어로스타,,UAR,Grounded
Aerosucre Colombia,에어로슈크리 콜롬비아,6N,KRE,Grounded
Aerosud Aviation,에어로수드에비이에이션,,SYT,Grounded
Aerosud Charter,에어로수드챠터,,MDX,Grounded
Aerosun International,에어로선 인터내셔널,,ASI,Grounded
Aerosuper,아에로슈퍼,,SUP,Grounded
Aerosur,에어로수르,5L,RSU,Grounded
Aerosur Paraguay S.A.,파라과이 항공,PQ,AES,Grounded
Aerosvit Airlines,에어로스빗 항공,VV,AEW,Grounded
Aerosvit Airlines,에어로스빗 항공,VV,,Grounded
Aerosyncro Aviation AB,에어로싱크로 에비에이션,,IBZ,Active
Aerotaxi,에어로택시,,CNI,Grounded
Aerotaxi Casanare Ltda.,카사나레 에어로택시,,ATK,Grounded
Aerotaxi Del Cabo,카보 에어택시,,CBO,Grounded
Aerotaxi Dvz.,에어로택시 DVZ,,DVZ,Grounded
"Aerotaxi Grupo Tampico, S. A. De C.V.",탐피코에어택시그룹,,GTP,Grounded
"Aerotaxi Los Valles, S.L.",에어로택시 로스 발레스,,VAD,Grounded
Aerotaxi Mexicano,아에로택시 멕시카노,,MXO,Grounded
Aerotaxi S.R.O.,에어로택시 S.R.O.,,ITE,Grounded
Aerotaxi Villa Rica,아에로택시 빌라리카,,VRI,Grounded
Aerotaxiatlantico,에어로텍시아틀란티코,,TLN,Grounded
Aerotaxis Albatros,아에로택시 알바트로스,,BTS,Grounded
Aerotaxis Alfe,아에로택시 알페,,TXF,Grounded
Aerotaxis Cimarron,아에로택시 치마론,,IMN,Grounded
Aerotaxis De Aguascalientes,아과스칼리엔테스 에어택시,,GUA,Grounded
Aerotaxis De La Bahia,라 바이아 에어택시,,BHC,Grounded
Aerotaxis Del Mediterrano S.L,아에로택시 델 메디테라노,,RYJ,Grounded
Aerotaxis Del Noroeste,노로에스테 에어택시,,TXD,Grounded
Aerotaxis Dosmil,아에로택시 모스밀,,DML,Grounded
Aerotaxis Guamuchil,아에로택시 구아무칠,,GMM,Grounded
Aerotaxis Latinoamericanos,아에로택시 라티노아메리카노스,,LTI,Grounded
Aerotaxis Metropolitanos,아에로택시 메트로폴리타노스,,MTB,Grounded
Aerotaxis PABA S.A.DE.C.V,아에러택시 파바,,PBC,Grounded
Aerotaxis Tucan.,에어로택시 투칸,,ERA,Grounded
Aerotec,에어로텍,,AEP,Grounded
Aerotecnica S.A.,에어로텍니카 ,,DUG,Grounded
"Aerotours Dominicana, C. Por A.","에어로투르 도미니카나, C. Por A.",,ATD,Grounded
"Aerotrans Airlines, Closed Joint-Stock Company",에어로트랜스 에어라인,,AED,Grounded
Aerotrans Cargo,에어로트랜스 카고,F5,ATG,Active
"Aerotrans, Joint-Stock Company",에어로트랜스,,CDU,Grounded
Aerotranscolombiana De Carga Ltda.,에어로트랜스콜롬비아나 데 카르가,,TCO,Grounded
Aerotransportacion De Norteamerica.,에어트랜스포테이션 드 노트 아메리카,,ANM,Grounded
Aerotransporte Petrolero Ltda.,에어로트랜스포트 페트롤레로,,PET,Grounded
Aerotransportes Corporativos,아에로트랜스포트 코포라티보스,,CRP,Grounded
Aerotransportes Huitzilin,아에로트랜스포트 후이칠린,,HUT,Grounded
Aerotransportes Internacionales De Torreon,에어로트랜스포트 데 토레온,,RRE,Grounded
Aerotransportes Privados,아에로트랜스포트 프리바도스,,PRI,Grounded
Aerotransportes Privados*,아에로트랜스포트 프리바도스,,PVA,Grounded
Aerotransportes Rafilher,아에로트랜스포트 라파일러,,RFD,Grounded
Aerotrebol,아에로트레볼,,TBL,Grounded
Aerotresaua.,에어로트레져,,OTS,Grounded
Aerotropical,아에로프로피칼,,TOC,Grounded
Aero-Tropics Air Services (ATAS)  dba of Lip-Air Pty. Ltd,립에어- 에어로트로픽에어서비스,HC,ATI,Grounded
Aerotucan,아에로투칸,,RTU,Active
Aerotur-Kz Airlines,에어로투어 카자흐스탄,,RAI,Grounded
Aeroturquesa,아에로투케사,,TQS,Grounded
Aerounion,아에로 유니온,6R,TNO,Active
Aerovallarta,아에로발라르타,,ALL,Grounded
"Aerovaradero , S.A.",에어로발라데로,,AVY,Grounded
Aerovega,아에로베가,,VEG,Grounded
Aerovena,아에로베나,,VNS,Grounded
"Aeroventas , S.A.",아에로벤타스,,AEV,Grounded
"Aerovias Caribe , S.A.",아에로비아스 카리브,QA,CBE,Grounded
"Aerovias Castillo , S.A.",아에로비아스 카스틸로,,CLL,Grounded
Aerovias DAP,에어로비아스 DAP,V5,DAP,Active
Aerovias DAP,에어로비아스 DAP,V5,,Active
Aerovias De Lagos,라고스 항공,,LAG,Grounded
Aerovias Del Golfo,아에로비아스 델 골포,,GFO,Grounded
Aerovias Ejecutivas,아에로비아스 이제큐티바스,,OVI,Grounded
Aerovias Montes Azules,아에로비아스 몬테스 아줄레스,,MZL,Grounded
Aerovic,아에로빅,,OVC,Grounded
Aerovilla Ltda.,에어로빌라,,VVG,Grounded
Aerovis Airlines,에어로비스,VS,VIZ,Grounded
Aerovista Gulf Express,에어로비스트걸프익스프레스,,VGF,Grounded
Aerovitro,아에로비트로,,VRO,Grounded
Aerovuelox,아에로뷰엘록스,,VUO,Grounded
Aeroway S.L.,에어로웨이,,AWY,Grounded
Aeroxtra,아에로엑스트라,,RXT,Grounded
Aex Air,아엑스 에어,,DST,Grounded
AF-Air International,AF에어인터내셔널,,FAN,Grounded
Afghan Jet International Airlines,아프간 제트 인터내셔널,HN,AJA,Active
Afit Gmbh,아핏트,,KIE,Grounded
Afra Airlines Limited,아프라에어라인,,UAG,Grounded
Afric Aviation,아프릭 에비에이션,L8,EKG,Grounded
Africa Air Links,아프리카에어링크,,AFK,Grounded
Africa Airlines,기니아프리카항공,,GIZ,Grounded
Africa Airways ,아프리카 에어웨이,,AFF,Grounded
Africa Charter Airlines Cc ,아프리카 챠터,,FSK,Active
Africa Chartered Services,아프리카챠터서비스,,AFY,Grounded
Africa Freight Services (Z) Limited,아프리카화물서비스,,AFZ,Grounded
Africa One,아프리카원,,CFR,Grounded
Africa One (Zambia) Ltd,잠비아아프리카원,,AZL,Grounded
Africa West Cargo,아프리카웨스트카고,,WTA,Grounded
Africa World Airlines ,아프리카 월드 에어라인,AW,AFW,Active
Afric'air Express,아프리캐어 익스프레스,,AAX,Grounded
Africair Service,아프리캐어서비스,,FFB,Grounded
African Airlines International Limited,아프리카항공인터내셔널,,AIK,Grounded
African Alliance Airlines,아프리칸 얼라이언스 항공,,JAY,Grounded
African Business and Transportations,아프리칸 비즈니스운송,AJ,ABB,Grounded
African Express Airways,아프리카 익스프레스 에어웨이,XU,AXK,Active
African International Airways (Pty) Ltd,아프리칸인터네셔널에어웨이,,AIN,Grounded
African Medical and Research Foundation (AMREF),아프리카의료구조재단,,FDS,Grounded
African Safari Airways Ltd.,아프리칸사파리에어웨이,QS,QSC,Grounded
African Star Airways,아프리칸스타에어웨이,4M,ASG,Grounded
African Transport Trading And Investment Co. (Attico),아프리칸항공무역투자주식회사,ML,ETC,Grounded
African West Air (AWA),아프리카웨스트항공,,AFC,Grounded
Africaone,아프리카원,,AFI,Grounded
Africa'S Connection,아프리카 코넥션,,ACH,Active
Afrijet Airlines,아프리제트항공,6F,FRJ,Grounded
Afrika Aviation Handlers Limited,아프라카항공조업,,FRK,Grounded
Afriqiyah Airways,아프리키야 항공,8U,AAW,Active
Afrique CArgo Service Senegal,세네갈 아프리카화물서비스,,NFS,Grounded
Afrique Chart'air,아프리크챠테어,,FRQ,Grounded
Afro International Ent. Limited,아프로인터내셔널엔터프라이즈,,AOR,Grounded
Agence Nationale Des Aerodromes Et De La Meteorologie (ANAM),ANAM,,ZZM,Grounded
"Agricolair, S.L. ",아그리콜라 에어,,AGD,Grounded
Agroar - Trabalhos Aereos Lda.,아그로아 - 트라발로스 아에로,,GRR,Grounded
Agrocentr-Avia,아그로센터 아비아,,GSV,Grounded
Agrolet-Mci Ltd,아그로렛-MCI,,AGZ,Grounded
AHS Air International,AHS 에어 인터내셔널,,AHS,Grounded
Aia Aviation ,아이아 에비에이션,,AYC,Grounded
Aigle Azur,아이글레 아쥐,ZI,AAF,Grounded
Air - Burundi,브룬디항공,8Y,PBU,Grounded
"Air 1St Aviation Companies Of Oklahoma, Inc. ",에어 퍼스트 에비에이션 컴패니스 오브 오클라호마,,RUF,Grounded
Air 26,에어 26,,DCD,Grounded
Air Ada,아다항공,,RDM,Grounded
Air Adriatic,에어아드리아틱,,AHR,Grounded
Air Affaires Tchad,에어어페어챠드,,FTC,Grounded
Air Afghan International Air Lines,아프간국제항공,,FGH,Grounded
Air Afrique,에어아프리카,RK,RKA,Active
Air Afrique Vacances,에어아프리카바캉스,,AFV,Grounded
Air Albania,에어 알바니아,ZB,ABN,Active
Air Albatros ,에어 알바트로스,,WBA,Grounded
Air Alfa Hava Yollari Ve Tic. A.S.,에어 알파 하바욜라리 베 틱. A.S.,,LFA,Grounded
Air Algerie,에어알제리,AH,DAH,Active
Air Alliance Express Ag & Co. Kg,에어알리앙스익스프레스,,AYY,Grounded
Air ALM - Antilliaanse Luchtvaart Maatschappij,ALM 항공 - 안틸리안세 루흐바흐트 마츠샤피히쯔,LM,ALM,Grounded
Air Almaty,에어알마티,K7,LMY,Grounded
Air Alpha,에어 알파,,DBA,Grounded
Air Alpha A/S,에어 알파,GD,AHA,Grounded
Air Alps,에어 알프스,A6,,Grounded
Air Alsie,에어 알시,6I,MMD,Active
Air Amder Sa,에어앰더,,RMD,Grounded
Air Anastasia Ltd,에어 아나스타아시아,,RUD,Grounded
Air Anatolia (Anadolu Havacilik A.S.),에어아나톨리아,TD,NTL,Grounded
Air and Sea Transport,에어 & 씨 트랜스포트,,ASN,Grounded
Air Andaman Corporation Limited,에어안다만주식회사,,ADW,Grounded
Air Antilles,에어 안틸레스,3S,GUY,Active
Air Antilles Express,에어 안틸레스 익스프레스,3S,GUY,Active
Air Antwerp,에어 앤트워프,WP,ATW,Grounded
Air Arabia,알아라비아,G9,ABY,Active
Air Arabia Abu Dhabi,에어 아라비아 아부다비,3L,ADY,Active
Air Arabia Egypt,에어아라비아 이집트,E5,RBG,Active
Air Arabia Jordan,에어 아라비안 요르단,9P,JAD,Grounded
Air Arabia Jordan,에어 아라비안 요르단,9P,JAD,Grounded
Air Arabia Maroc,에어아라비아 모로코,3O,MAC,Active
Air Archipels,에어 아쉬펠,,RHL,Active
Air Armenia,에어아르메니아,QN,ARR,Grounded
Air Astana,에어아스타나,KC,KZR,Active
Air Atlanta Icelandic,애틀랜타,CC,ABD,Active
Air Atlantic (Nig) Limited,나이지리아 에어아틀랜틱,,ANI,Grounded
Air Atlantic Dominicana,에어아틀랜틱 도미니카나,,ADC,Grounded
Air Atlantic Uruguay,에어아틀랜틱 우루과이,,AUM,Grounded
Air Atlantique,에어 아틀란티크,7M,AAG,Grounded
Air Attack Technologies,에어 어택 테크날로지,,MGT,Grounded
Air Aurora,에어 오로라,,AAI,Grounded
Air Austral,에어오스트랄,UU,REU,Active
Air Australia,에어 오스트랄리아,VC,,Grounded
Air Australia (Strategic Airlines),에어 오스트랄리아 (스트래트직 에어라인),VC,AGC,Grounded
Air Bagan,에어바간,W9,JAB,Active
Air Baltic Eastern,에어발틱 이스턴,,BTE,Grounded
Air Ban,에어 반,,LZP,Grounded
Air Bandama,에어반다마,,BDM,Grounded
Air Bangladesh (Pvt) Limited,에어방글라데시,,BGD,Grounded
Air Bashkortostan Ltd.,에어 바슈코르토스탄,ZU,BBT,Grounded
Air Batumi,에어 바투미,,BTM,Grounded
Air Belgium,에어 벨기에,KF,ABB,Active
Air Belgium ,에어 벨기에,KF,ABB,Grounded
Air Berlin,에어베를린,AB,BER,Grounded
Air Bishkek ,에어 비쉬케크 ,KR,EAA,Grounded
Air Bissau International Lda,에어비사우인터내셔널,YL,BSA,Grounded
Air Borealis,에어 보레알리스,,LBR,Active
Air Botswana,보츠와나항공,BP,BOT,Active
Air Brasil Linhas Aereas,에어브라질 린하스 아레아스 LTDA,,BSL,Grounded
Air Bravo,에어브라보,,BRF,Grounded
Air Bright,에어프라이트,,REM,Active
Air Bucharest,에어 부크레슈티,,BUR,Grounded
Air Burkina,에어부르키나,2J,VBW,Active
Air Busan,에어부산,BX,ABL,Active
Air Cairo,에어카이로,SM,MSC,Active
Air Caledonia,에아칼레도니아,,ACM,Grounded
Air Caledonie,에어 칼레도니,TY,TPC,Active
Air Canada,에어캐나다,AC,ACA,Active
Air Canada Rouge,에어캐나다 루즈,RV,ROU,Active
Air Cannes Mediterranee,에어칸드 메디테리안,,RCM,Grounded
Air Caraibes,에어 카라이베스,TX,FWI,Active
Air Caraibes Atlantique,에어 카리베 아틀란티크,,CAJ,Grounded
Air Care Alliance,에어캐어알리앙스,,CMF,Grounded
Air Cargo America,에어 카고아메리카,,MVM,Grounded
Air Cargo Belize,에어카고벨리즈,,CGB,Grounded
Air Cargo Carriers,에어 카고캐리어,2Q,SNC,Active
Air Cargo Center,에어카고센터,,GRI,Grounded
Air Cargo Express,에어 카고익스프레스,,TDG,Grounded
Air Cargo Express International,에어 카고익스프레스 인터내셔널,,PFT,Grounded
Air Cargo Global,에어 카고 글로벌,CW,CCC,Active
Air Cargo Masters,에어 카고마스터,,RNR,Grounded
Air Cargo Mongolia,에어카고몽골리아,,MGC,Grounded
Air Cargo Transportation System Limited,에어카고운송시스템,,ACU,Grounded
Air Carnival,에어 카니발,2S,ACV,Grounded
Air Carriers,에어 캐리어즈,,FCI,Grounded
Air Cassai Lda.,에어카사이,,RCI,Grounded
Air Center Helicopters,에어 센터 헬리콥터,,RAP,Grounded
Air Central Asia,에어센트랄 아시아,,AAT,Grounded
Air Century,에어 센츄리 ,Y2,CEY,Active
Air Cess,에어세스,,ACS,Grounded
Air Changan,장안항공,9H,CGN,Active
Air Charter Express Limited,에어챠터 익스프레스,,ACE,Grounded
Air Charter Professionals,에어챠터 프로페셔널,,CHV,Grounded
Air Charter Services (ACS),에어챠터서비스,,CHR,Grounded
Air Charter World,에어챠터 월드,,XAC,Grounded
Air Charters Eelde,에어챠터 일테,,RCC,Grounded
Air Chathams,에어 차트마스,3C,CVA,Active
Air China,중국국제항공,CA,CCA,Active
Air China Cargo,중국국제항공화물,CA,CAO,Active
Air Choice One,에어초이스원,3E,ACO,Active
Air Class,에어 클래스,,ASS,Grounded
Air Class Lineas Aereas,에어클레스라인즈에어리어,VZ,QCL,Active
Air Comet,에어 코멧,A7,MPD,Grounded
Air comet Chile ,에어코멧 칠레 ,3I,DLU,Grounded
Air Comores International,에어코모레스인터내셔널,,HAH,Grounded
Air Concorde,에어 콩코드,,KGD,Grounded
Air Consul,에어 콘설,,CNU,Grounded
Air Continental,에어 콘티넨탈,,NAR,Grounded
Air Continental Africa,에어컨티넨탈 아프리카,TI,ACB,Grounded
Air Corporate,에어 코퍼레이트,,ACJ,Grounded
Air Corporate S.R.L.,에어 코퍼레이트 S.R.L.,,CPV,Grounded
Air Corridor,에어코리더,,CRD,Grounded
AIR CORSICA,에어 코시카,XK,CCM,Active
Air Costa,엥 코스타,LB,LLB,Grounded
Air Costa Rica,에어코스타리카,RI,,Active
Air Cote d'Ivoire,에어 코트 디 부아르,HF,VRE,Active
Air Creebec,에어크리벡,YN,CRQ,Active
Air Cruzal,에어크루잘,,CRJ,Grounded
Air Data Ltd,에어 데이터,,AFS,Grounded
Air Deccan,에어데칸,DN,DKN,Active
Air Djibouti,에어 지부티,IV,DJU,Active
Air Djibouti,에어 지부티,IV,DJU,Active
Air Do,에어 두,HD,ADO,Active
Air Dolomiti,에어돌로미티,EN,DLA,Active
Air Dominicana,에어 도미나카나,,RDO,Grounded
Air Eagle,에어 이글,,EGA,Active
Air Ecuador Airecu S.A.,에어에쿠,N5,CCU,Grounded
Air Este S.A.,에어 에스트,,EET,Grounded
Air Europa ,에어 유로파,UX,AEA,Active
Air Europa Express,에어 유로파 익스프레스,X5,OVA,Grounded
Air Europa Express,에어 유로파 익스프레스,UX,PMI,Grounded
Air Europa Express,에어 유로파 익스프레스,X5,,Active
Air Europe Spa,에어유럽,PE,AEL,Grounded
Air Excel (Tanzania),에어엑셀,,XLL,Active
Air Exchange,에어 익스체인지,,EXG,Grounded
Air Excursions,에어 엑스커션,X4,,Grounded
Air Executive Charter Gmbh,에어 이그제큐티브 챠터,,XEC,Grounded
Air Executive S.L.,에어 이그제큐티브,,IVE,Grounded
Air Exel Netherlands B.V.,에어엑셀 네덜란드,,AXL,Grounded
Air Express,에어익스프레스,,AXD,Grounded
Air Express In Sweden Ab,에어익스프레스 인 스웨덴,,AEQ,Grounded
Air Express Limited,에어익스프레스,,AEJ,Grounded
Air Falcon,에어팔콘,,AVG,Grounded
Air Falcon,에어팔콘,,FPK,Grounded
Air Fecteau Ltee.,에어 펙토,,AFH,Grounded
Air Finland,에어핀란드,OF,,Grounded
"Air Finland Ltd. (Oy Air Finland Ltd, Finland)",에어핀란드,OF,FIF,Grounded
Air Flamenco,에어플라맹고,F4,WAF,Active
Air Four S.P.A,에어포,,AFM,Grounded
Air Foyle Ltd,에어 포일,,UPA,Grounded
Air France,에어프랑스,AF,AFR,Active
Air Fret De Mauritanie,에어프레드모리타니,,FMT,Grounded
Air Galaxy Limited,에어 캘럭시,,AGL,Grounded
Air Gemini,에어제미니,,GLL,Grounded
Air Georgian,에어 조지안,ZX,GGN,Grounded
Air Ghana,에어가나,AG,GHN,Active
Air Glaciers Sa,에어 글래시어,,AGV,Grounded
Air Go,에어고,,AGY,Grounded
Air Go Airlines,에어고 에어라인,4A,AGS,Grounded
Air Greenland,에어그린란드,GL,GRL,Active
Air Guam,괌항공,,AGM,Grounded
Air Guilin,에어 구이린,GT,CGH,Active
"Air Guinea Cargo , S.A.",에어기니화물,LQ,,Active
Air Guinee Express S.A.,에어기니익스프레스,,GIP,Grounded
Air Guinee International,에어 기니 인터내셔널,,GIR,Grounded
Air Guyane Express,에어 기아나 익스프레스,3S,GUY,Active
Air Haiti,에어아이티,,HJA,Grounded
Air Hamburg,에어 함부르크,,AHO,Grounded
Air Highnesses,에어 하이니스,,HNS,Grounded
Air Hong Kong,에어홍콩,LD,AHK,Active
Air Horizon,에어호라이즌,8C,HZT,Grounded
Air Horizon,에어호라이즌,,TPK,Grounded
Air Horizont,에어호라이즌,HT,HAT,Active
Air Iberia,에어 이베리아,,TBB,Grounded
Air Iceland connect,에어 아이슬란드 커넥트,NY,FXI,Active
Air Illinois,에어 일리노이즈,,AIL,Grounded
Air Images,에어 이미지,,IMS,Grounded
Air Incheon,에어 인천,KJ,AIH,Active
Air Independence,에어인디펜던스,,JTV,Grounded
Air Independence Gmbh,에어인디펜던스,,DLY,Grounded
Air India ,인도항공,AI,AIC,Active
Air India Express,에어인디아익스프레스,IX,AXB,Active
Air Indus,에어 인더스,,MPK,Active
Air Inter Cameroun,에어인터카메룬,,ICM,Grounded
Air Inter Gabon,에어인터가봉,,AIG,Grounded
Air Inter Ivoire,에어인터아이보리,,NTV,Grounded
Air Intersalonika,에어 인터살로니카,,NSK,Grounded
Air Inuit Ltd.,에어 인뉴이트,3H,AIE,Active
Air Italy,에어 이탤리,IG,ISS,Grounded
Air Italy,에어 이탤리,IG,ISS,Grounded
Air Italy S.P.A.,에어 이탤리 S.P.A.,I9,AEY,Grounded
Air ITM,에어 ITM,,MQT,Grounded
Air Iveria,에어 이베리아,,ETO,Grounded
Air Iveria,에어 이베리아,VU,VUN,Grounded
Air Jamahiriya Company,에어자마히리야,,LJA,Grounded
Air Jamaica,에어자메이카 ,JM,AJM,Grounded
Air Jamaica Express Limited,에어자메이카 익스프레스,JQ,JMX,Grounded
Air Japan,에어저펜,NQ,AJX,Active
Air Jetsul,에어 제트술,,AJU,Grounded
Air Juan,에어후한,AO,,Active
