항공사명,한글항공사명,IATA코드,ICAO코드,항공사상태,사업모델,국가,지역,,
Air Link,에어링크 익스큐티브 서비스,DR,,Active,Regional/Commuter,Australia,Southwest Pacific,,
Air Lituanica,에어 리투아니아,,,Grounded,Regional/Commuter,Lithuania,Eastern/Central Europe,,
Air Loyaute,에어 로와요떼,,RLY,Active,Regional/Commuter,New Caledonia,Southwest Pacific,,
Air Macau,에어마카오,NX,AMU,Active,Full Service Carrier,Macau,North East Asia,,
Air Madagascar,마다가스카르항공,MD,MDG,Active,Full Service Carrier,Madagascar,Southern Africa,,
Air Madrid [NM],에어 마드리드 항공,,,Grounded,Full Service Carrier,Spain,Western Europe,,
Air Majoro,에어 마조로,,,Active,Regional/Commuter,Peru,Upper South America,,
Air Malawi,에어말라위,QM,AML,Grounded,Full Service Carrier,Malawi,Southern Africa,,
Air Mali,에어 말리,I5,,Grounded,Full Service Carrier,Mali,Central/Western Africa,,
Air Malta,에어 말타,KM,AMC,Active,Full Service Carrier,Malta,Western Europe,,
Air Manas,에어마냐스,ZM,MBB,Active,Low Cost Carrier,Kyrgyzstan,Central Asia,,
Air Mancora,에어 만코라,,,Startup,Full Service Carrier,Peru,Upper South America,,
Air Mandalay,만달레이항공,6T,AMY,Grounded,Full Service Carrier,Myanmar,South East Asia,,
Air Mano,에어 마노,,,Startup,Low Cost Carrier,,,,
Air Mantra,에어 만트라,,,Grounded,Regional/Commuter,India,South Asia,,
Air Marshall Islands,에어마셜아일랜드,,CWM,Active,Full Service Carrier,Marshall Islands,Southwest Pacific,,
Air Mauritius,모리셔스항공,MK,MAU,Active,Full Service Carrier,Mauritius,Southern Africa,,
Air Mediterranean,에어 메디티라아난,MV,MAR,Active,Charter,Greece,Eastern/Central Europe,,
Air Mekong,메콩 에어,P8,MKG,Grounded,Full Service Carrier,Vietnam,South East Asia,,
Air Memphis,에어멤피스,,MHS,Grounded,Charter,Egypt,North Africa,,
Air Moldova,모르도바항공,9U,MLD,Active,Full Service Carrier,Moldova,Eastern/Central Europe,,
Air Montenegro,에어 몬테네그로,,MNE,Active,Full Service Carrier,Montenegro,Eastern/Central Europe,,
Air Mediterranee,지중해 항공,ML,,Grounded,Charter,France,Western Europe,,
Air Namibia,나미비아항공,SW,NMB,Grounded,Full Service Carrier,Namibia,Southern Africa,,
Air Nelson,에어넬슨,,RLK,Active,Regional/Commuter,New Zealand,Southwest Pacific,,
Air New Zealand,뉴질랜드항공,NZ,ANZ,Active,Full Service Carrier,New Zealand,Southwest Pacific,,
Air Next,에어 넥스트,7A,,Grounded,Low Cost Carrier,Japan,North East Asia,,
Air Nigeria,에어나이지리아,,,Grounded,Full Service Carrier,Nigeria,Central/Western Africa,,
Air Nippon,에어닛폰,EL,,Grounded,Regional/Commuter,Japan,North East Asia,,
Air Niugini,뉴기니항공,PX,ANG,Active,Full Service Carrier,Papua New Guinea,Southwest Pacific,,
Air North,에어노스 ,4N,ANT,Active,Regional/Commuter,Canada,North America,,
Air Northeast,노스웨스트항공,,,Startup,Regional/Commuter,China,North East Asia,,
Air Norway,노르웨이항공,,,Grounded,Regional/Commuter,Norway,Western Europe,,
Air Oceania,오세아니아항공,,,Startup,Low Cost Carrier,New Caledonia,Southwest Pacific,,
Air One,에어 원,AP,ADH,Grounded,Low Cost Carrier,Italy,Western Europe,,
Air One Nine,에어원나인,N6,,Active,Charter,Libya,North Africa,,
Air Onix,에어 오닉스,OG,,Grounded,Full Service Carrier,Ukraine,Eastern/Central Europe,,
Air Ouest,에어웨스트,,,Active,Charter,France,Western Europe,,
Air Panama,에어 파나마,7P,PST,Active,Full Service Carrier,Panama,Central America,,
Air Papaya,에어 파파야,,,Failed startup,Full Service Carrier,Northern Mariana Islands,Southwest Pacific,,
Air Peace,에어 피스,P4,APK,Active,Full Service Carrier,Nigeria,Central/Western Africa,,
Air Peace Hopper,에어 피스 호프항공,,APK,Active,Full Service Carrier,Nigeria,Central/Western Africa,,
Air Pegasus,에어 페가수스,OP,PPL,Grounded,Low Cost Carrier,India,South Asia,,
